success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,cue,associate,cue_duration,associate_duration,initial_jitter,cue_asso_jitter,key,animacy,style,instruction,instruction_text,prompt,instruction_duration,accurate,question_order,numbers,trial_accuracies,mean_accuracy,exp,subjectId,date
,retrieval-trial,10,439787,0.0-10.0,,,,,,,,construct,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,10000.0,,,,,null,null,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,11,456787,0.0-11.0,,,,,,,,integrate,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,10000.0,,,,,null,null,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,survey-multi-choice,12,495565,0.0-12.0-0.0,,,,,38773.0,,"{'Encoding': 'True', 'EncodingKeys': 'False', 'Retrieval': 'True', 'RetrievalKeys': 'True'}",,,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,MEM,MEM_0045,2022-12-08 19:27:12
,survey-multi-choice,13,531004,0.0-12.1-0.1,,,,,33709.0,,"{'Encoding': 'True', 'EncodingKeys': 'False', 'Retrieval': 'False', 'RetrievalKeys': 'True'}",,,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,MEM,MEM_0045,2022-12-08 19:27:12
,survey-multi-choice,14,2406408,0.0-12.2-0.2,,,,,1874082.0,,"{'Encoding': 'True', 'EncodingKeys': 'True', 'Retrieval': 'True', 'RetrievalKeys': 'False'}",,,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,MEM,MEM_0045,2022-12-08 19:27:12
,survey-multi-choice,15,2411975,0.0-12.3-0.3,,,,,4293.0,,"{'Encoding': 'True', 'EncodingKeys': 'True', 'Retrieval': 'True', 'RetrievalKeys': 'True'}",,,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,MEM,MEM_0045,2022-12-08 19:27:12
,html-keyboard-response,16,3089832,0.0-13.0,,,,,677850.0,"
    <p>Great job! Now you'll continue onto doing the main tasks.
    You will have the opportunity to take brief breaks at various points.
    The instructions will be displayed again before the start of each task, in case you need a refresher.
    Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
True,fullscreen,17,3094540,0.0-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,html-keyboard-response,18,3097862,0.0-15.0,,,,,3319.0,"
    <p>As you practiced earlier, you will first see an action verb in this part of the study. This will be followed by a plus sign, and then an object.<br>
    Your job is to create a vivid mental image involving the action verb and the object.<br>
    Once you have a clear association in mind, press the space bar to continue to the next trial.<br>
    <br>
    Please keep in mind that you will be asked later about the object's perceptual properties in addition to its meaning.
    <br>
    <img src=""/static/instructions_pics/encoding_pic.png"" height=""350px"">
    <br>
    Press the space bar when you are ready to start the task.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,19,3108372,0.0-16.0,,,,,,,,shake,/static/object_pics/picture_sea/seaturtle.jpg,2000.0,7000.0,629.3522534145507,862.1655475202604,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,20,3119836,0.0-17.0,,,,,,,,discover,/static/object_pics/drawing_veggie/tomato.jpg,2000.0,7000.0,951.7341917658082,854.9306941250802,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,21,3134003,0.0-18.0,,,,,,,,wrap,/static/object_pics/picture_electronic/keyboard.jpg,2000.0,7000.0,1436.4069433653399,1476.25282991623,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,22,3147787,0.0-19.0,,,,,,,,connect,/static/object_pics/picture_clothe/jeans.jpg,2000.0,7000.0,937.0682806190227,581.8172111061303,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,23,3161788,0.0-20.0,,,,,,,,locate,/static/object_pics/picture_mammal/elephant.jpg,2000.0,7000.0,1269.1224515279273,699.5490654389976,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,24,3175787,0.0-21.0,,,,,,,,center,/static/object_pics/picture_mammal/bull.jpg,2000.0,7000.0,1405.0412253712025,846.5823587550329,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,25,3188796,0.0-22.0,,,,,,,,fit,/static/object_pics/picture_fruit/watermelon.jpg,2000.0,7000.0,1148.192060599986,990.5037287529457,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,26,3202787,0.0-23.0,,,,,,,,knock,/static/object_pics/picture_bird/hummingbird.jpg,2000.0,7000.0,1235.8340491223305,665.5536795440242,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,html-keyboard-response,27,3531073,0.0-24.0,,,,,328284.0,"
    <p>Now, you will a series of numbers. <br>
    If the number is even, press the left arrow key. <br>
    If the number is odd, press the right arrow key.<br>
    <br>
    When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,number-parity-trial,28,3551075,0.0-25.0,,,,,,,"['arrowright', 'arrowright', 'arrowright', 'arrowleft', 'arrowright', 'arrowright', 'arrowleft', 'arrowright', 'arrowleft', 'arrowright', 'arrowright', 'arrowright', 'arrowleft', 'arrowleft', 'arrowleft', 'arrowleft', 'arrowleft']",,,,,,,,,,,,,,,,"[86, 38, 86, 9, 57, 3, 92, 11, 94, 83, 21, 81, 26, 60, 36, 4, 86, 1]","[False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True]",0.7647058823529411,MEM,MEM_0045,2022-12-08 19:27:12
,html-keyboard-response,29,3553681,0.0-26.0,,,,,2604.0,"<p>In that last set of trials, you were correct 76% of the time.<br> Press the space bar to continue. </p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,html-keyboard-response,30,3568496,0.0-27.0,,,,,14813.0,"
    <br>
    As you practiced earlier, you will now see an action verb that you were shown earlier. Your job is to bring back to mind the object
    that you imagined being involved with this word and to report information about the object's semantic or visual features.
    <br>
    A question screen presented before the action verb will indicate which feature you are to report on:
    <br>
    ""animate vs. inanimate"" or ""photo vs. drawing"".
    <br>
    Press the left arrow button for animate/photo or the right arrow button for inanimate/drawing.
    <br>
    If you forgot the object associated with the verb, press the down arrow.
    Please respond as quickly as possible, and use your dominant hand to make your responses.
    <br>
    <img src=""/static/instructions_pics/retrieval_pic.png"" height=""350px"">
    <br>When you read the first set of instructions, you may have created a vivid mental image involving the word ""find"" and a drawing of a dog.
    In these examples trials shown above, the correct response for the top row is ""animate"", whereas the correct response for the bottom row is ""drawing"".
    <br>When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,31,3574264,0.0-28.0,,,,,1884.0,,,shake,/static/object_pics/picture_sea/seaturtle.jpg,10000.0,,,,arrowleft,animate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,32,3579920,0.0-29.0,,,,,1781.0,,,wrap,/static/object_pics/picture_electronic/keyboard.jpg,10000.0,,,,arrowright,inanimate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,33,3585160,0.0-30.0,,,,,1279.0,,,discover,/static/object_pics/drawing_veggie/tomato.jpg,10000.0,,,,arrowleft,inanimate,drawing,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,34,3589808,0.0-31.0,,,,,1036.0,,,fit,/static/object_pics/picture_fruit/watermelon.jpg,10000.0,,,,arrowleft,inanimate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,35,3597607,0.0-32.0,,,,,3473.0,,,knock,/static/object_pics/picture_bird/hummingbird.jpg,10000.0,,,,arrowright,animate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,36,3602872,0.0-33.0,,,,,1092.0,,,locate,/static/object_pics/picture_mammal/elephant.jpg,10000.0,,,,arrowdown,animate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,37,3609983,0.0-34.0,,,,,2620.0,,,connect,/static/object_pics/picture_clothe/jeans.jpg,10000.0,,,,arrowleft,inanimate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,38,3615879,0.0-35.0,,,,,1717.0,,,center,/static/object_pics/picture_mammal/bull.jpg,10000.0,,,,arrowright,animate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,39,3620671,0.0-36.0,,,,,1107.0,,,knock,/static/object_pics/picture_bird/hummingbird.jpg,10000.0,,,,arrowleft,animate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,40,3625815,0.0-37.0,,,,,1092.0,,,wrap,/static/object_pics/picture_electronic/keyboard.jpg,10000.0,,,,arrowleft,inanimate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,41,3636159,0.0-38.0,,,,,6052.0,,,shake,/static/object_pics/picture_sea/seaturtle.jpg,10000.0,,,,arrowleft,animate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,42,3642287,0.0-39.0,,,,,2514.0,,,discover,/static/object_pics/drawing_veggie/tomato.jpg,10000.0,,,,arrowright,inanimate,drawing,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,43,3651104,0.0-40.0,,,,,4538.0,,,center,/static/object_pics/picture_mammal/bull.jpg,10000.0,,,,arrowright,animate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,44,3657848,0.0-41.0,,,,,2237.0,,,fit,/static/object_pics/picture_fruit/watermelon.jpg,10000.0,,,,arrowleft,inanimate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,45,3663015,0.0-42.0,,,,,663.0,,,locate,/static/object_pics/picture_mammal/elephant.jpg,10000.0,,,,arrowright,animate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,46,3667127,0.0-43.0,,,,,600.0,,,connect,/static/object_pics/picture_clothe/jeans.jpg,10000.0,,,,arrowleft,inanimate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,html-keyboard-response,47,3884527,0.0-44.0,,,,,217397.0,"<p>In that last set of trials, you were correct 56% of the time.<br> Press the space bar to continue. </p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,html-keyboard-response,48,3885613,0.0-45.0,,,,,1083.0,"
    <p>As you practiced earlier, you will first see an action verb in this part of the study. This will be followed by a plus sign, and then an object.<br>
    Your job is to create a vivid mental image involving the action verb and the object.<br>
    Once you have a clear association in mind, press the space bar to continue to the next trial.<br>
    <br>
    Please keep in mind that you will be asked later about the object's perceptual properties in addition to its meaning.
    <br>
    <img src=""/static/instructions_pics/encoding_pic.png"" height=""350px"">
    <br>
    Press the space bar when you are ready to start the task.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,49,3897211,0.0-46.0,,,,,,,,include,/static/object_pics/drawing_veggie/potato.jpg,2000.0,7000.0,1358.414071332636,1225.8933048793165,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,50,3908314,0.0-47.0,,,,,,,,browse,/static/object_pics/picture_sea/eel.jpg,2000.0,7000.0,842.816056223223,1240.8668903246253,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,51,3918531,0.0-48.0,,,,,,,,forge,/static/object_pics/drawing_sea/mantaray.jpg,2000.0,7000.0,616.8496569190876,574.9401689677103,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,52,3929684,0.0-49.0,,,,,,,,add,/static/object_pics/picture_bird/peacock.jpg,2000.0,7000.0,1416.0672297111469,715.6202563177902,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,53,3940428,0.0-50.0,,,,,,,,hit,/static/object_pics/drawing_fruit/orange.jpg,2000.0,7000.0,785.9279608883273,931.8915682674565,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,54,3951563,0.0-51.0,,,,,,,,boot,/static/object_pics/picture_fruit/apple.jpg,2000.0,7000.0,675.0344091233047,1437.2707222057975,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,55,3962379,0.0-52.0,,,,,,,,twitch,/static/object_pics/drawing_bird/parrot.jpg,2000.0,7000.0,852.0533559489951,943.1410751444182,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,encoding-trial,56,3972715,0.0-53.0,,,,,,,,wash,/static/object_pics/drawing_veggie/artichoke.jpg,2000.0,7000.0,665.4661898691147,651.6275992534227,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,html-keyboard-response,57,4087267,0.0-54.0,,,,,114549.0,"
    <p>Now, you will a series of numbers. <br>
    If the number is even, press the left arrow key. <br>
    If the number is odd, press the right arrow key.<br>
    <br>
    When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,number-parity-trial,58,4107275,0.0-55.0,,,,,,,"['arrowleft', 'arrowright', 'arrowright', 'arrowleft', 'arrowleft', 'arrowright', 'arrowleft', 'arrowright', 'arrowright', 'arrowright', 'arrowleft', 'arrowleft', 'arrowleft', 'arrowleft', 'arrowleft', 'arrowleft', 'arrowright', 'arrowleft', 'arrowleft', 'arrowleft', 'arrowright', 'arrowleft', 'arrowright']",,,,,,,,,,,,,,,,"[6, 45, 25, 60, 76, 9, 16, 39, 13, 45, 66, 34, 16, 54, 94, 18, 19, 56, 52, 12, 47, 76, 10, 90]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]",0.9565217391304348,MEM,MEM_0045,2022-12-08 19:27:12
,html-keyboard-response,59,4113396,0.0-56.0,,,,,6118.0,"<p>In that last set of trials, you were correct 96% of the time.<br> Press the space bar to continue. </p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,html-keyboard-response,60,4115588,0.0-57.0,,,,,2191.0,"
    <br>
    As you practiced earlier, you will now see an action verb that you were shown earlier. Your job is to bring back to mind the object
    that you imagined being involved with this word and to report information about the object's semantic or visual features.
    <br>
    A question screen presented before the action verb will indicate which feature you are to report on:
    <br>
    ""animate vs. inanimate"" or ""photo vs. drawing"".
    <br>
    Press the left arrow button for animate/photo or the right arrow button for inanimate/drawing.
    <br>
    If you forgot the object associated with the verb, press the down arrow.
    Please respond as quickly as possible, and use your dominant hand to make your responses.
    <br>
    <img src=""/static/instructions_pics/retrieval_pic.png"" height=""350px"">
    <br>When you read the first set of instructions, you may have created a vivid mental image involving the word ""find"" and a drawing of a dog.
    In these examples trials shown above, the correct response for the top row is ""animate"", whereas the correct response for the bottom row is ""drawing"".
    <br>When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,61,4121610,0.0-58.0,,,,,2449.0,,,include,/static/object_pics/drawing_veggie/potato.jpg,10000.0,,,,arrowleft,inanimate,drawing,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,62,4127082,0.0-59.0,,,,,1053.0,,,twitch,/static/object_pics/drawing_bird/parrot.jpg,10000.0,,,,arrowright,animate,drawing,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,63,4133041,0.0-60.0,,,,,1750.0,,,add,/static/object_pics/picture_bird/peacock.jpg,10000.0,,,,arrowleft,animate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,64,4138283,0.0-61.0,,,,,1332.0,,,wash,/static/object_pics/drawing_veggie/artichoke.jpg,10000.0,,,,arrowleft,inanimate,drawing,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,65,4143954,0.0-62.0,,,,,1318.0,,,boot,/static/object_pics/picture_fruit/apple.jpg,10000.0,,,,arrowleft,inanimate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,66,4149362,0.0-63.0,,,,,1147.0,,,forge,/static/object_pics/drawing_sea/mantaray.jpg,10000.0,,,,arrowright,animate,drawing,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,67,4154593,0.0-64.0,,,,,1534.0,,,hit,/static/object_pics/drawing_fruit/orange.jpg,10000.0,,,,arrowleft,inanimate,drawing,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,68,4159666,0.0-65.0,,,,,1328.0,,,browse,/static/object_pics/picture_sea/eel.jpg,10000.0,,,,arrowleft,animate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,69,4165265,0.0-66.0,,,,,1406.0,,,forge,/static/object_pics/drawing_sea/mantaray.jpg,10000.0,,,,arrowleft,animate,drawing,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,70,4169889,0.0-67.0,,,,,565.0,,,add,/static/object_pics/picture_bird/peacock.jpg,10000.0,,,,arrowright,animate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,71,4183428,0.0-68.0,,,,,,,,hit,/static/object_pics/drawing_fruit/orange.jpg,10000.0,,,,,inanimate,drawing,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,72,4197580,0.0-69.0,,,,,,,,include,/static/object_pics/drawing_veggie/potato.jpg,10000.0,,,,,inanimate,drawing,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,73,4202483,0.0-70.0,,,,,661.0,,,browse,/static/object_pics/picture_sea/eel.jpg,10000.0,,,,arrowright,animate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,74,4206985,0.0-71.0,,,,,606.0,,,twitch,/static/object_pics/drawing_bird/parrot.jpg,10000.0,,,,arrowleft,animate,drawing,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,75,4217329,0.0-72.0,,,,,6331.0,,,wash,/static/object_pics/drawing_veggie/artichoke.jpg,10000.0,,,,arrowleft,inanimate,drawing,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,retrieval-trial,76,4230868,0.0-73.0,,,,,,,,boot,/static/object_pics/picture_fruit/apple.jpg,10000.0,,,,,inanimate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,html-keyboard-response,77,4267090,0.0-74.0,,,,,36218.0,"<p>In that last set of trials, you were correct 31% of the time.<br> Press the space bar to continue. </p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
,html-keyboard-response,78,4270985,0.0-75.0,,,,,3894.0,"
    <p>As you practiced earlier, you will first see an action verb in this part of the study. This will be followed by a plus sign, and then an object.<br>
    Your job is to create a vivid mental image involving the action verb and the object.<br>
    Once you have a clear association in mind, press the space bar to continue to the next trial.<br>
    <br>
    Please keep in mind that you will be asked later about the object's perceptual properties in addition to its meaning.
    <br>
    <img src=""/static/instructions_pics/encoding_pic.png"" height=""350px"">
    <br>
    Press the space bar when you are ready to start the task.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0045,2022-12-08 19:27:12
